Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория комиссии;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Вывезти и нанести КИЗ (кроме Твери), шт;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'Термонаклейка мультяшный Кот картина Ван Гог;877588232;1425250751;OZN1425250751;Термонаклейка для одежды: мультяшный Кот картина Ван Гог;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:02;;'0.25;'0.1;37;0;0;0;0;0;349.00;428.00;;0%
'Термонаклейка Микки Маус надписи на фоне;877588236;1425250758;OZN1425250758;Термонаклейка для одежды: Микки Маус надписи на фоне;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:02;;'0.63;'0.1;13;0;0;0;0;0;349.00;428.00;;0%
'Термонаклейка Поцелуй берега и реки картина маслом;877588237;1425250633;OZN1425250633;Термонаклейка для одежды: Поцелуй берега и реки картина маслом;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:02;;'0.57;'0.1;10;0;0;0;0;0;349.00;428.00;;0%
'Термонаклейка Одри Хепбёрн поп арт;877588241;1425250637;OZN1425250637;Термонаклейка для одежды: Одри Хепбёрн поп арт;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:02;;'0.28;'0.1;29;0;0;0;0;0;349.00;428.00;;0%
'Термонаклейка Дали Ван Гог Фрида Кало в машине;877588251;1425250740;OZN1425250740;Термонаклейка для одежды: Дали Ван Гог Фрида Кало в машине;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:02;;'0.54;'0.1;24;0;3;0;0;0;349.00;428.00;;0%
'Термонаклейка Play Boy губы обложка губы марка;877605926;1425266577;OZN1425266577;Термонаклейка для одежды: Play Boy губы обложка губы марка;'47.5;Punky Monkey;Продается;719;'4.90;Показывается;;17.02.2024 19:27;;'0.24;'0.1;31;0;0;0;0;0;349.00;428.00;;0%
'Термонаклейка Жираф с цветком во рту;923539657;1463878321;OZN1463878321;Термонаклейка для одежды: Жираф с цветком во рту;'47.5;Punky Monkey;Продается;886;'4.90;Показывается;;11.03.2024 6:33;;'1.65;'0.3;36;0;0;0;0;0;339.00;428.00;;0%
